
**** SCALARS ****
run,repetition,module,name,value
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_10,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_20,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_30,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_40,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_50,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_60,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_70,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_80,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_90,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_100,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_110,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_120,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_130,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_140,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_150,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_160,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestThreshold,0.35
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestF1Score,0.66666610430877
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestPrecision,0.6363635785124
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestRecall,0.69999993000001
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestAccuracy,0.8599999828
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],FinalBadServicesReceived,0
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],FinalAverageBadServices,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_10,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_20,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_30,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_40,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_50,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_60,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_70,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_80,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_90,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_100,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_110,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_120,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_130,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_140,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_150,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],AverageBadServicesAt_160,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestAccuracy,0.8599999828
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestF1Score,0.66666610430877
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestPrecision,0.6363635785124
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestRecall,0.69999993000001
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],BestThreshold,0.35
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],FinalAverageBadServices,0.125
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],FinalBadServicesReceived,0

**** PARAMETERS ****
run,repetition,module,name,value
General-0-20250527-14:13:59-21224,0,BlockchainNetwork,maliciousNodePercentage,0.2
General-0-20250527-14:13:59-21224,0,BlockchainNetwork,numNodes,50
General-0-20250527-14:13:59-21224,0,BlockchainNetwork,typename,"""src.BlockchainNetwork"""
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],typename,"""src.IoTNode"""
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],maliciousNodePercentage,0.2
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],maliciousNodePercentage,0.2
General-0-20250527-14:13:59-21224,0,BlockchainNetwork.iotNode[0],typename,"""src.IoTNode"""
