run,type,module,name,attrname,attrvalue,value
General-0-20250529-15:37:16-15764,runattr,,,configname,General,
General-0-20250529-15:37:16-15764,runattr,,,datetime,20250529-15:37:16,
General-0-20250529-15:37:16-15764,runattr,,,datetimef,20250529-153716,
General-0-20250529-15:37:16-15764,runattr,,,experiment,General,
General-0-20250529-15:37:16-15764,runattr,,,inifile,omnetpp.ini,
General-0-20250529-15:37:16-15764,runattr,,,iterationvars,,
General-0-20250529-15:37:16-15764,runattr,,,iterationvarsd,,
General-0-20250529-15:37:16-15764,runattr,,,iterationvarsf,,
General-0-20250529-15:37:16-15764,runattr,,,measurement,,
General-0-20250529-15:37:16-15764,runattr,,,network,BlockchainNetwork,
General-0-20250529-15:37:16-15764,runattr,,,processid,15764,
General-0-20250529-15:37:16-15764,runattr,,,repetition,0,
General-0-20250529-15:37:16-15764,runattr,,,replication,#0,
General-0-20250529-15:37:16-15764,runattr,,,resultdir,results,
General-0-20250529-15:37:16-15764,runattr,,,runnumber,0,
General-0-20250529-15:37:16-15764,runattr,,,seedset,123,
General-0-20250529-15:37:16-15764,config,,,network,BlockchainNetwork,
General-0-20250529-15:37:16-15764,config,,,*.iotNode*.inoutGateSize,10,
General-0-20250529-15:37:16-15764,config,,,sim-time-limit,200s,
General-0-20250529-15:37:16-15764,config,,,*.iotNode*.serviceInterval,"uniform(1, 5)",
General-0-20250529-15:37:16-15764,config,,,*.numNodes,30,
General-0-20250529-15:37:16-15764,config,,,**.maliciousNodePercentage,0.3,
General-0-20250529-15:37:16-15764,config,,,seed-set,123,
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_10,,,0.28571428571429
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_20,,,0.28571428571429
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_30,,,0.28571428571429
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_40,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_50,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_60,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_70,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_80,,,0.33333333333333
General-0-20250529-15:37:16-15764,scalar,BlockchainNetwork.iotNode[0],AverageBadServicesAt_90,,,0.33333333333333
