NodeID,Type,Ability,AvgTrustScore
40,Private,-4.81153,0.00531411
25,Private,-4.68088,0.00744086
26,Private,1.43272,0.970971
27,Government,5.05316,1
28,Private,3.77245,0.992565
29,Government,6.18999,1
30,Private,1.67489,0.981796
31,Private,13.3129,0.99723
32,Private,1.87392,0.986232
33,Private,-1.34932,0.0260183
34,Government,2.52016,0.997747
35,Private,-4.36628,0.00738213
36,Private,-1.67001,0.0309458
37,Private,3.93391,0.997094
38,Government,0.735767,0.959575
39,Private,13.7984,0.996721
24,Private,0.666043,0.837517
292,Private,-1.70183,0.0256796
293,Government,2.91644,1
294,Private,6.37034,0.993628
295,Private,-0.931278,0.0939006
296,Private,5.82073,0.995506
297,Government,1.57639,0.9871
298,Private,-5.53941,0.00500355
299,Government,15.9282,1
362,Private,-6.43897,0.00301474
300,Private,8.9144,0.996994
301,Government,11.8238,1
302,Private,-1.87923,0.0129922
303,Private,-3.5485,0.00524512
304,Government,-0.899934,0.628324
305,Private,5.15624,0.996324
306,Private,3.50755,0.992546
307,Government,14.3657,1
308,Private,10.3406,0.996634
309,Private,-6.70737,0.00398688
310,Private,-2.05578,0.0155836
311,Government,5.27853,1
312,Private,-7.42848,0.00394641
313,Private,-3.19011,0.00683354
314,Government,8.29467,1
268,Private,-10.887,0.00438187
253,Government,3.29478,1
254,Private,-0.946898,0.107202
255,Government,16.8737,1
256,Private,-0.359811,0.334632
257,Private,3.06037,0.989856
258,Private,3.37355,0.995661
260,Private,-2.82891,0.00421157
261,Private,2.53123,0.989293
262,Government,-2.37653,0.520691
263,Government,2.99135,1
264,Private,10.8126,0.995759
265,Private,-7.44347,0.0065845
266,Private,-2.97011,0.00880457
267,Government,1.41681,0.981372
252,Private,-1.81334,0.0135004
65,Private,-2.68483,0.00661944
19,Private,0.821622,0.870039
20,Private,14.03,0.996685
21,Private,-7.68999,0.00344249
22,Private,-2.7127,0.00578001
23,Government,8.10368,1
291,Private,9.86338,0.996588
66,Private,2.10648,0.981871
67,Private,-11.3963,0.00432149
68,Private,-5.01519,0.00320076
69,Private,1.00601,0.904215
70,Government,6.36329,1
71,Government,2.79354,1
72,Government,5.37652,1
73,Government,11.8891,1
74,Government,1.24384,0.981315
75,Government,7.21222,1
76,Private,13.5965,0.996402
77,Private,-5.91444,0.00365825
78,Private,6.09198,0.995706
79,Private,6.28749,0.992425
80,Private,1.29733,0.956624
81,Government,14.7494,1
82,Private,6.32703,0.994312
83,Government,8.5072,1
84,Private,2.70996,0.990481
85,Private,3.11561,0.988692
86,Private,-10.3155,0.00298989
87,Private,6.07301,0.993612
88,Private,-3.86702,0.00628829
89,Private,4.98512,0.994682
90,Government,-0.24491,0.66727
91,Private,-10.1698,0.00347924
92,Government,6.75875,1
93,Private,-12.9942,0.00303193
94,Private,2.46938,0.990924
95,Private,-10.1402,0.0046732
96,Private,-1.11302,0.0573441
97,Private,17.5307,0.996972
98,Private,7.28613,0.995334
99,Government,2.19497,0.998431
100,Private,7.27001,0.996656
101,Private,-1.22879,0.0734124
102,Private,-12.8522,0.00378563
103,Private,-4.94222,0.00331683
104,Private,1.25263,0.943565
105,Private,9.67757,0.995767
106,Private,5.96165,0.995755
107,Private,-6.93104,0.00406994
108,Private,-16.9706,0.00318108
109,Government,2.92658,1
110,Private,1.50345,0.980054
111,Private,-5.26492,0.00906119
259,Private,16.5177,0.997036
113,Government,7.46586,1
114,Private,7.1872,0.993538
115,Private,-3.73166,0.00914266
116,Private,-7.51586,0.00308715
117,Private,-1.81032,0.0125324
118,Private,6.2325,0.995456
119,Private,6.40044,0.996213
120,Private,11.2538,0.996515
121,Private,0.590986,0.835268
122,Private,-7.54469,0.00419996
123,Private,-11.332,0.00330586
124,Government,1.69968,0.990776
125,Government,1.7153,0.999877
126,Government,7.95383,1
415,Private,8.392,0.996908
400,Private,-0.813545,0.159399
401,Private,-19.4379,0.00317583
402,Government,0.143448,0.88129
403,Private,-5.95997,0.00614997
404,Private,-16.3358,0.00311568
405,Private,-4.14261,0.00736538
406,Private,-5.86595,0.00647327
407,Private,8.98812,0.996399
408,Private,-4.95109,0.00926414
409,Government,5.1367,1
410,Private,12.1139,0.997068
411,Private,-1.22042,0.0543603
412,Private,-4.35854,0.00843431
413,Private,9.03102,0.995822
414,Government,1.53946,0.996578
399,Government,-2.04776,0.391155
417,Private,5.75596,0.992125
418,Private,11.7829,0.996879
419,Government,15.6173,1
420,Government,5.79431,1
421,Private,-4.25005,0.00345566
422,Government,-0.664797,0.433845
423,Private,-7.30208,0.00385132
424,Private,0.780601,0.85756
237,Private,1.28945,0.944687
175,Government,1.24276,0.975425
176,Private,-2.88042,0.00438049
177,Private,2.08871,0.9751
178,Government,10.5656,1
179,Government,9.05246,1
180,Private,0.981368,0.9284
181,Government,5.09646,1
182,Government,16.3591,1
183,Private,1.79257,0.971204
184,Private,9.66108,0.997048
185,Private,14.4827,0.996248
186,Private,13.261,0.996725
187,Private,-0.374601,0.297977
188,Government,10.5906,1
189,Private,11.9604,0.996056
143,Private,-1.24073,0.0567659
128,Government,2.32102,1
129,Private,-3.5504,0.00450084
130,Private,-3.97161,0.00436412
131,Private,2.14873,0.981855
132,Private,-0.371709,0.334695
133,Government,5.43602,1
385,Private,0.973202,0.907119
386,Private,-8.59144,0.00388574
387,Private,2.01983,0.981162
388,Private,10.3319,0.996369
389,Private,-9.9649,0.00387927
390,Government,4.72215,1
391,Private,-4.07431,0.00905138
392,Private,-9.0298,0.00516557
377,Private,1.58554,0.954081
440,Government,-0.743965,0.630941
394,Private,-9.48658,0.00309155
395,Private,-9.75191,0.00443254
396,Private,4.60332,0.996585
397,Private,5.06016,0.993601
398,Government,1.62169,0.994657
416,Private,8.37299,0.993752
191,Private,8.13504,0.99709
192,Private,-11.3703,0.00447808
193,Private,10.546,0.997101
194,Private,-0.0134128,0.555332
195,Private,-4.12642,0.00586095
196,Private,-7.25758,0.00357225
197,Private,-2.35407,0.00892068
198,Private,0.104395,0.575332
199,Government,6.31787,1
200,Government,11.2994,1
201,Private,-6.0414,0.00837982
202,Government,9.91799,1
203,Private,-2.34455,0.0105564
204,Private,-6.51977,0.0033747
205,Private,3.61314,0.994679
206,Private,-6.02201,0.00390931
207,Private,13.7654,0.996912
208,Private,-11.5651,0.0032574
209,Private,-1.98215,0.0155576
210,Government,-0.915995,0.512771
211,Government,9.24288,1
212,Private,-5.12453,0.00538687
213,Private,6.17929,0.994364
214,Government,8.89741,1
215,Government,-0.761885,0.571624
216,Private,-9.47743,0.00366033
217,Government,3.54076,1
218,Government,1.36049,0.987803
219,Private,0.711092,0.838979
220,Private,6.81603,0.99312
221,Private,-1.2179,0.0698226
222,Private,-7.27836,0.00462403
223,Government,-0.563896,0.536102
224,Private,2.40944,0.990914
225,Private,11.1855,0.9959
226,Government,0.854339,0.928207
227,Private,-10.997,0.00316274
228,Private,-8.22879,0.00603685
229,Private,-4.36063,0.00378478
230,Private,-1.50062,0.0436816
231,Private,7.09936,0.993934
232,Private,-9.06686,0.00347802
233,Private,6.02321,0.996237
234,Private,1.51285,0.967368
235,Private,-8.99287,0.00407589
236,Private,-15.0671,0.00325945
384,Private,-1.51095,0.0330146
238,Private,0.363006,0.732654
239,Private,2.19948,0.9888
240,Private,-6.0863,0.00360251
241,Private,-13.5809,0.00393814
242,Private,-2.98146,0.00428407
243,Private,1.89676,0.977914
244,Private,-1.58864,0.0361934
245,Private,-8.77892,0.00328962
246,Private,8.00269,0.993556
247,Private,-14.8963,0.00349247
248,Private,4.09746,0.992581
249,Government,4.92059,1
250,Private,1.52717,0.974897
251,Private,3.10089,0.994613
290,Private,-6.90393,0.00513442
275,Government,2.23414,0.998046
276,Government,4.63889,1
277,Private,0.616154,0.787304
278,Private,-7.05611,0.00498653
279,Private,2.59891,0.993999
280,Private,-10.8259,0.00310532
281,Private,12.8342,0.996925
282,Private,8.58466,0.997028
283,Private,-8.77644,0.00321538
284,Government,-0.0778359,0.852281
285,Private,6.80384,0.995325
286,Government,10.3878,1
287,Private,-6.06927,0.00702545
288,Private,-1.57974,0.0240915
289,Private,5.17449,0.992898
274,Government,9.45357,1
42,Private,-5.73963,0.00395863
43,Private,4.88809,0.991539
44,Government,-0.569965,0.749133
45,Government,9.8936,1
46,Government,4.0858,1
47,Private,4.21707,0.989472
48,Private,-15.7595,0.00331381
49,Private,8.0944,0.996284
112,Government,6.99705,1
50,Private,3.3135,0.996939
51,Private,-1.50792,0.0417853
52,Private,-9.42816,0.00309326
53,Private,4.4155,0.997086
54,Private,-4.45052,0.00642571
55,Private,3.04299,0.992849
56,Government,5.57791,1
57,Private,-8.27914,0.00471379
58,Government,8.62733,1
59,Private,0.2091,0.638256
60,Government,-1.64222,0.574345
61,Government,-1.89896,0.495454
62,Private,-0.966571,0.0752415
63,Government,5.657,1
64,Government,11.6225,1
18,Private,-11.5366,0.00385773
3,Government,11.4174,1
4,Government,8.0373,1
5,Private,3.41114,0.989486
6,Private,-0.962013,0.106626
7,Government,-2.56697,0.465735
8,Government,3.16447,1
10,Private,1.27566,0.945382
11,Private,2.51597,0.994858
12,Private,-11.4307,0.00336819
13,Private,-4.49846,0.00948276
14,Private,2.75717,0.994213
15,Private,14.5265,0.996504
16,Private,9.88177,0.99531
17,Private,0.661802,0.792363
2,Government,6.37085,1
315,Private,5.38372,0.994566
